subject,CC,CN,CI,NC,NN,NI,IC,IN,II
1,0.23223531,0.231456412,0.284751311,0.233022126,0.435482357,0.23223531,0.23223531,0.46928496,0.439975955
2,0.287682099,0.501812153,0.682142452,0.412593575,0.474206866,0.775193373,0.38163335,0.508985249,0.623920597
3,0.552240407,0.625260267,0.652578719,0.435482357,0.405465406,0.597638587,0.470908523,0.436964887,0.444611622
4,0.601788691,0.654908852,0.987209792,0.405465406,0.837980168,0.996047297,0.623087667,0.906584955,1.070141614
5,0.090940425,0.329176956,0.404083607,0.284751311,0.494934126,0.46928496,0.328067882,0.402715842,0.57548917
6,0.510827125,0.610355268,0.623920597,0.598668053,0.507163161,0.589918687,0.844477325,0.714538568,0.603191406
7,0.474206866,0.405465406,0.405465406,0.404083607,0.494934126,0.57548917,0.612554738,0.999716857,0.671950896
8,0.435482357,0.46767808,0.494934126,0.367208021,0.522314822,0.665405235,0.402715842,0.548450632,0.620937578
9,0.328067882,0.494934126,0.522314822,0.23223531,0.57548917,0.49662708,0.163481306,0.435482357,0.522314822
10,0.23223531,0.501812153,0.372262379,0.090940425,0.573513104,0.329176956,0.285718265,0.328067882,0.524105736
11,0.405465406,0.470908523,0.525915209,0.550335728,0.525915209,0.550335728,0.439975955,0.405465406,0.443050153
