subject,CC,CN,CI,NC,NN,NI,IC,IN,II
1,0.013422819,0.013333333,0.020134228,0.013513514,0.046666667,0.013422819,0.013422819,0.054054054,0.047619048
2,0.020547945,0.061643836,0.111888112,0.041958042,0.055172414,0.142857143,0.035971223,0.063380282,0.094202899
3,0.074324324,0.094594595,0.102739726,0.046666667,0.040540541,0.086666667,0.054421769,0.046979866,0.048611111
4,0.087837838,0.103448276,0.224489796,0.040540541,0.165517241,0.228187919,0.093959732,0.191780822,0.26
5,0,0.026845638,0.040268456,0.020134228,0.06,0.054054054,0.026666667,0.04,0.080536913
6,0.063829787,0.090277778,0.094202899,0.086956522,0.062937063,0.084507042,0.167938931,0.122302158,0.088235294
7,0.055172414,0.040540541,0.040540541,0.040268456,0.06,0.080536913,0.090909091,0.22972973,0.108695652
8,0.046666667,0.053691275,0.06,0.033333333,0.066666667,0.106666667,0.04,0.073333333,0.093333333
9,0.026666667,0.06,0.066666667,0.013422819,0.080536913,0.060402685,0.006666667,0.046666667,0.066666667
10,0.013422819,0.061643836,0.034246575,0,0.08,0.026845638,0.02027027,0.026666667,0.067114094
11,0.040540541,0.054421769,0.067567568,0.073825503,0.067567568,0.073825503,0.047619048,0.040540541,0.048275862
