subject,CC,CN,CI,NC,NN,NI,IC,IN,II
1,370.7414966,352.9932432,392.8287671,392.0821918,374.2727273,393.8571429,388.5918367,368.0214286,403.6
2,411.2447552,413.0948905,490.1102362,427.9927007,426.2481752,495.8333333,449.5895522,436.2706767,493.96
3,390.2335766,370.0149254,402.1068702,386.1258741,351.8450704,411.9124088,390.6402878,358.6549296,404.4014599
4,340.7777778,345.4,384.1140351,358.5492958,349.5123967,388.3130435,361.362963,351.1440678,393.2612613
5,358.6577181,356.9586207,418.1958042,376.9794521,355.1347518,413.1857143,368.6986301,370.8819444,418.5693431
6,427.8106061,408.1145038,429.528,442.7539683,427.0223881,448.7461538,444.266055,439.9098361,446.0403226
7,450.4817518,394.8239437,458.1478873,445.4755245,410.6808511,462.7226277,468.1153846,427.0789474,473.5609756
8,349.7552448,339.929078,364.2553191,355.3448276,338.5428571,375.6343284,356.6458333,339.8489209,364.8676471
9,343.1369863,352.4255319,377.4,353.6734694,351.0948905,377.85,365,345.7622378,382
10,368.9931973,354.5036496,407.8368794,376.25,361.4202899,409.6482759,381.8413793,372.9109589,408.5107914
11,367.2957746,367.2086331,406.8913043,381.2826087,377.8043478,394.673913,372.5785714,373.084507,405.9130435
