File        HEOG-BL_Simon_incon VEOG-BL_Simon_incon Fp1-BL_Simon_incon  Fz-BL_Simon_incon   F3-BL_Simon_incon   F7-BL_Simon_incon   FT9-BL_Simon_incon  FC5-BL_Simon_incon  FC1-BL_Simon_incon  C3-BL_Simon_incon   T7-BL_Simon_incon   TP9-BL_Simon_incon  CP5-BL_Simon_incon  CP1-BL_Simon_incon  Pz-BL_Simon_incon   P3-BL_Simon_incon   P7-BL_Simon_incon   O1-BL_Simon_incon   Oz-BL_Simon_incon   O2-BL_Simon_incon   P4-BL_Simon_incon   P8-BL_Simon_incon   TP10-BL_Simon_incon CP6-BL_Simon_incon  CP2-BL_Simon_incon  Cz-BL_Simon_incon   C4-BL_Simon_incon   T8-BL_Simon_incon   FT10-BL_Simon_incon FC6-BL_Simon_incon  FC2-BL_Simon_incon  F4-BL_Simon_incon   F8-BL_Simon_incon   Fp2-BL_Simon_incon  FCz-BL_Simon_incon  

Stroop_01   13,154769           -14,033839          -6,405313           -1,352624           -2,206786           -5,187428           8,428316            -2,857903           -1,250025           -0,161082           -2,970870           -2,827031           0,361897            3,199349            4,469559            3,336825            -0,088453           -4,726456           2,304146            5,721551            5,091669            2,276726            -0,570132           2,900253            3,362638            1,534315            1,413615            -0,358947           -2,590756           1,343831            -1,742600           -0,278264           -0,289736           -6,070751           -0,374006
Stroop_02   -27,955856          -2,094343           -0,931059           0,047176            1,047698            2,131985            -13,858524          1,355950            0,507910            0,878241            0,376650            -1,808262           0,189517            1,426400            1,285850            1,431058            0,539725            14,097343           -1,143564           -1,655054           0,651027            -1,147121           -4,419436           -0,286818           1,472147            1,605703            0,333670            -2,564292           -3,749404           -1,640865           0,757245            -0,885823           -3,267857           -4,638889           0,468330
Stroop_03   -2,813252           -11,380547          -0,679935           0,008106            1,406261            1,325749            7,870718            0,595366            -0,027935           -2,229697           -1,796556           0,569277            -3,631171           -1,460479           1,016598            -2,904954           -3,303089           10,683966           -1,985882           10,031383           0,126004            1,754985            1,607512            -0,948657           -1,260317           -0,843206           -2,302426           0,955003            -1,349175           0,655686            0,269210            1,582032            -0,376545           -1,229256           -0,725597
Stroop_04   1,332157            1,430826            -1,214042           1,587750            0,698398            -1,696062           -4,730537           1,052258            3,929183            4,980160            0,079547            -5,588255           3,182757            7,137762            8,839289            5,920874            1,320244            -6,062690           2,549085            -5,638805           7,450447            2,245985            -6,917621           4,174029            9,033879            6,687336            5,846954            -0,021258           -4,207983           1,311712            4,833926            2,516386            -0,618045           -1,107777           4,168632
Stroop_05   -2,528660           -6,714995           -2,363645           -1,078918           1,116530            0,363890            -2,367635           -0,563669           -0,150312           -0,635512           -0,487303           2,200636            0,270694            1,333083            3,053373            2,477156            2,985636            0,161024            4,883444            2,195714            4,504043            5,373559            3,958237            2,110556            1,404168            -0,973850           -0,672583           0,415623            -4,519277           -1,111830           -0,345928           0,833275            -0,188176           -2,261671           -2,052961
Stroop_06   -6,112390           -50,979061          -1,376435           -0,590188           -0,925626           -2,441576           -0,936821           -2,180722           -1,007377           -1,911233           -3,492992           -0,660137           -2,475953           -0,637964           -0,061102           -1,106843           -2,690298           5,175571            -0,320308           12,879663           -0,383551           0,228764            2,842815            -0,756740           -0,471728           -1,013159           -1,020576           -2,120074           -38,099392          -1,998598           -0,013936           -0,038989           -2,613782           -2,449847           -0,727562
Stroop_07   -6,496885           1,335929            1,246388            0,428882            2,430611            3,346521            1,635590            2,297035            2,345049            -0,917621           0,643976            0,132810            -1,196327           -3,157745           -1,603945           -1,379720           -0,772744           8,132472            3,208169            4,189453            0,068474            1,838950            1,933971            -0,413855           -2,892299           -4,596034           -1,297744           0,080932            5,525396            -0,004603           -1,140654           0,831610            0,452010            1,308581            -1,153903
Stroop_08   5,106455            -1,217900           -1,955996           -1,676434           -0,827526           -1,249701           -1,381782           -0,454957           0,381092            -0,208609           -1,225309           -4,978359           -0,367671           1,008378            1,484288            1,010707            -0,853951           -6,488243           -1,046211           -2,871408           2,071961            0,485726            -4,472970           1,494453            1,824398            1,214297            1,898655            0,014075            -4,089299           0,630461            0,069765            -0,937659           -0,967541           -1,856695           0,040007
Stroop_09   4,453356            -13,192831          -6,322989           -3,441025           -4,360518           -4,464684           5,603605            -2,071679           -1,131874           1,697850            -1,443607           3,242469            1,073322            4,915078            5,953093            3,315708            0,720879            1,150258            0,962240            2,692972            4,610072            1,389671            6,812268            2,176875            4,373787            2,748364            2,137126            -0,234420           -10,499851          -0,608750           -0,205372           -1,595436           -2,774383           -5,306271           -2,113057
Stroop_10   6,926188            -3,669120           -5,739997           1,439258            -0,674182           -4,201087           -4,675766           -1,427845           2,938294            1,597700            -3,137255           -11,773309          -0,237100           3,921164            3,648593            1,246740            -5,366992           -11,601969          -5,038881           -5,982481           1,147746            -4,449260           -10,661341          0,366649            3,028630            4,551743            2,518705            -1,171879           -9,651599           1,244311            3,183170            2,204836            -0,265730           -4,053547           2,726218
Stroop_11   -6,334709           1,504718            -1,038697           -0,702238           -0,424205           -0,494780           -4,380547           -0,598971           0,872617            0,391468            -2,151838           -4,481341           -0,904138           2,069834            4,169543            1,565953            -1,802284           1,954158            -0,670928           -2,639529           3,026010            -0,015731           -4,066968           0,310528            2,272856            0,802874            0,589076            -2,798640           -1,134817           -0,490060           0,018943            0,104838            -1,900548           -2,086985           -0,114497

