File        HEOG-BL_Simon_con VEOG-BL_Simon_con Fp1-BL_Simon_con  Fz-BL_Simon_con   F3-BL_Simon_con   F7-BL_Simon_con   FT9-BL_Simon_con  FC5-BL_Simon_con  FC1-BL_Simon_con  C3-BL_Simon_con   T7-BL_Simon_con   TP9-BL_Simon_con  CP5-BL_Simon_con  CP1-BL_Simon_con  Pz-BL_Simon_con   P3-BL_Simon_con   P7-BL_Simon_con   O1-BL_Simon_con   Oz-BL_Simon_con   O2-BL_Simon_con   P4-BL_Simon_con   P8-BL_Simon_con   TP10-BL_Simon_con CP6-BL_Simon_con  CP2-BL_Simon_con  Cz-BL_Simon_con   C4-BL_Simon_con   T8-BL_Simon_con   FT10-BL_Simon_con FC6-BL_Simon_con  FC2-BL_Simon_con  F4-BL_Simon_con   F8-BL_Simon_con   Fp2-BL_Simon_con  FCz-BL_Simon_con  

Stroop_01   8,286285          -16,181433        -8,182590         -2,837336         -2,896627         -5,171949         7,411193          -2,403234         -1,858363         0,114520          -2,206455         -0,167540         2,001550          3,378578          5,695211          4,274434          0,981971          -0,875089         2,596867          6,046519          6,502143          2,878498          1,186184          2,672920          3,538837          1,063387          1,061956          -0,163877         -4,088402         -0,744126         0,639453          -1,293985         -1,478816         -6,551943         -1,611021
Stroop_02   -14,511114        -9,643422         -5,355389         -0,509586         -0,323351         0,341740          -3,590388         0,603562          1,414008          0,783781          -0,770768         -3,564891         -0,314516         2,059178          1,978951          1,567974          0,325464          10,920712         -0,224319         0,160465          1,842529          -0,110700         -4,886728         0,984898          2,101154          2,769833          0,726562          -1,490491         -9,482942         -0,757047         0,621517          -0,750784         -1,936073         -6,618588         1,040470
Stroop_03   2,824983          -8,253879         -0,150613         2,051602          1,875084          -0,957715         5,080215          0,026794          2,026908          -1,364637         -2,726600         -4,620816         -3,546095         0,334874          2,980201          -2,314985         -4,158922         2,255227          -2,021884         4,421889          1,682811          1,500557          -2,424808         0,576988          1,301677          2,123461          0,329844          1,047796          -3,831986         1,668055          2,935266          2,722950          0,529128          -0,226142         2,348540
Stroop_04   3,435164          1,453277          -1,529213         1,710116          1,142626          -1,152524         -4,243300         1,133868          3,913396          4,915217          0,424435          -5,899759         3,603708          6,938056          7,940473          5,682309          1,309955          -7,678468         2,098707          -6,426901         6,533707          2,422123          -6,306355         3,768508          7,015179          6,434400          4,911485          0,592095          -4,973620         1,319905          4,461688          2,602593          -0,014900         -0,489626         4,068703
Stroop_05   3,048302          -5,275785         -2,213635         0,426309          1,501589          -0,652948         -4,845501         -0,961262         1,050919          -0,188279         -1,898845         -1,704863         -0,363361         1,565994          2,656844          1,550141          1,460057          -7,893813         2,713841          -2,278347         3,442955          3,632800          0,946616          2,174057          1,869588          0,542873          0,243120          0,668151          -7,554124         -0,430529         1,109753          1,640953          0,804156          -0,618313         0,252751
Stroop_06   -1,329470         -36,029373        -0,554672         -0,593096         -1,446379         -1,002119         1,914823          -2,018896         -0,629964         -1,170480         -2,377680         0,346763          -1,562009         -0,927226         -0,297051         -0,547364         -1,527527         3,244298          0,524041          8,772573          -0,550018         0,014843          2,032106          -0,638163         -0,917879         -1,277104         -0,192767         -1,180937         -27,256786        -0,317275         0,005868          0,907072          -0,394948         -1,527526         -0,792954
Stroop_07   4,500323          0,276373          0,984985          0,811415          2,660348          4,129997          8,430676          3,028280          1,697657          -1,007126         0,780130          -3,464740         -1,173470         -3,647091         -1,861731         -1,538535         -0,382289         3,930348          2,140321          8,119808          -0,408650         1,461705          -1,299853         -0,971465         -3,424333         -4,826107         -1,062170         -0,219146         8,396159          0,480743          -0,176069         1,602883          1,380586          0,987569          -1,448437
Stroop_08   0,265236          -0,186466         -2,187044         -1,371791         -0,255623         -1,059408         -4,744230         0,010449          0,996445          0,021898          -1,791776         -5,974132         -0,596603         1,387869          1,593490          0,676508          -2,611146         -5,009463         -1,799758         -4,486078         1,897284          -0,256650         -5,812796         0,926551          2,336059          2,054905          1,974327          -0,473340         -4,672543         0,633229          0,635910          -0,567673         -0,972802         -1,846391         0,645081
Stroop_09   -18,475225        -12,500261        -7,098226         -2,412884         -4,221887         -4,725708         -9,345952         -2,219921         -0,643045         1,977468          -1,943476         2,186828          1,123727          5,219025          6,872767          4,869358          0,409536          9,129266          0,296872          -0,187269         4,885747          0,934135          4,213754          1,982228          4,976793          3,043248          2,301147          -0,978570         -12,687519        -0,819411         -0,263586         -2,069534         -4,263425         -5,855694         -1,376676
Stroop_10   10,134433         -4,918628         -7,143059         1,312028          -1,275516         -5,311184         -4,942598         -1,855632         3,008398          2,110647          -4,028098         -13,216805        -0,480179         5,323442          4,132450          1,938218          -5,737157         -15,077050        -4,799037         -8,159656         1,340467          -4,437735         -12,608349        0,443997          4,167611          5,530357          2,310631          -1,924983         -13,078300        0,690020          3,914929          2,214391          -0,050689         -4,730787         3,336475
Stroop_11   -1,438000         10,173501         -2,197710         -1,676380         -1,113679         -2,110591         -5,076152         -1,403142         0,663369          0,119437          -3,679204         -5,862338         -1,433794         2,486402          4,785921          1,718385          -1,720223         -3,638147         -0,881158         -7,276599         3,926794          0,870709          -4,945200         0,858967          3,157982          1,293585          1,823129          -2,700712         2,896902          -0,229418         0,888939          0,412200          -1,682840         -1,846542         -0,330435

